Ημερομηνία	Απασχολούμενοι	Άνεργοι	Μη ενεργοί	Ποσοστό ανεργίας	Απασχολούμενοι	Άνεργοι	Μη ενεργοί	Ποσοστό ανεργίας
Απρίλιος 2017	3,761.5	1,027.1	3,230.3	21.4	3,762.2	1,043.4	3,213.4	21.7
Μάιος 2017	3,754.6	1,036.6	3,225.0	21.6	3,753.8	1,039.5	3,223.1	21.7
Ιούνιος 2017	3,834.8	961.0	3,217.6	20.0	3,778.1	1,022.7	3,212.2	21.3
Ιούλιος 2017	3,843.2	966.0	3,201.5	20.1	3,792.4	1,003.1	3,215.1	20.9
Αύγουστος 2017	3,786.4	977.3	3,244.2	20.5	3,772.6	992.5	3,242.9	20.8
Σεπτέμβριος 2017	3,848.8	947.4	3,208.9	19.8	3,791.3	998.2	3,215.5	20.8
Οκτώβριος 2017	3,818.3	976.5	3,207.6	20.4	3,761.5	999.0	3,241.6	21.0
Νοέμβριος 2017	3,675.3	1,026.8	3,297.5	21.8	3,726.0	995.5	3,278.6	21.1
Δεκέμβριος 2017	3,731.3	1,003.2	3,262.6	21.2	3,767.9	989.7	3,239.5	20.8
Ιανουάριος 2018	3,756.6	993.4	3,243.8	20.9	3,759.8	975.7	3,258.2	20.6
Φεβρουάριος 2018	3,655.2	1,037.0	3,298.1	22.1	3,708.5	972.1	3,310.0	20.8
Μάρτιος 2018	3,768.6	973.6	3,244.7	20.5	3,801.9	953.7	3,231.2	20.1
Απρίλιος 2018	3,801.0	941.3	3,241.0	19.8	3,785.0	941.9	3,256.4	19.9
Μάιος 2018	3,840.1	913.1	3,226.8	19.2	3,841.4	922.3	3,216.2	19.4
Ιούνιος 2018	3,919.7	862.5	3,194.3	18.0	3,867.8	913.3	3,195.5	19.1
Ιούλιος 2018	3,885.3	877.1	3,210.7	18.4	3,833.4	904.2	3,235.5	19.1
Αύγουστος 2018	3,860.7	895.9	3,213.2	18.8	3,861.2	897.2	3,211.4	18.9
Σεπτέμβριος 2018	3,932.3	837.1	3,197.0	17.6	3,879.5	887.0	3,199.9	18.6							
